400931	Hvordan har du det?	38926	How are you doing?
400931	Hvordan har du det?	373320	How are you?
400931	Hvordan har du det?	1285339	How do you do?
430094	På trods af al sin rigdom og berømmelse, er han ulykkelig.	67026	For all his wealth and fame, he is unhappy.
430095	Jeg ved ikke hvad jeg skal gøre.	454490	I don't know what to do.
430096	Han tror det er umuligt for mig at bestige bjerget alene.	297255	He thinks it impossible for me to climb the mountain alone.
430097	Jeg kan ikke lide æg.	325226	I don't care for eggs.
430097	Jeg kan ikke lide æg.	593243	I don't like eggs.
430098	Folk som ikke synes at latin er det smukkeste sprog, har intet forstået.	425452	People that don't think Latin is the most beautiful language understand nothing.
430099	Vi fløj over Atlanterhavet.	275785	We flew across the Atlantic.
430100	Hvorfor stod du så tidligt op?	36488	Why did you get up so early?
430101	For at slå tiden ihjel, slentrede jeg gennem gaderne.	23949	I strolled along the streets to kill time.
430102	Mange amerikanere er interesserede i jazz.	274780	Many Americans are interested in jazz.
430103	Vent venligst et øjeblik.	279342	Please hold on a moment.
430103	Vent venligst et øjeblik.	430067	Please wait a moment.
430103	Vent venligst et øjeblik.	1939683	Please wait a minute.
430106	Disse blomster vil for det meste overleve vinteren.	60071	These flowers will live through the winter more often than not.
464029	Hun er ikke læge.	455281	She's not a doctor.
464031	Røgalarmen er aldrig blevet vedligeholdt.	455287	The smoke alarm has never been maintained.
464032	Han er skyldig i tyveri.	455289	He is guilty of theft.
464037	Hvad er du interesseret i?	455290	What are you interested in?
464038	Han faldt i grøften.	455293	He fell into the ditch.
464042	Der kommer til at være et problem.	455491	There'll be a problem.
464044	Jeg synes de er rigtig sjove.	455524	I think that they're a lot of fun.
464045	Min far skulle til at gå da telefonen ringede.	455526	My father was about to leave when the phone rang.
464047	Mærkeligt, ikke? Vi skulle allerede være nået frem.	455742	Odd, isn't it? We should have already arrived.
464049	Jeg vil kalde på en politibetjent.	455759	I will call a policeman.
464052	Jeg vil ringe for at få det bekræftet.	455761	I will call in order to confirm it.
464055	Jeg vil ikke spise morgenmad i dag.	455775	I won't eat breakfast today.
464056	Jeg arbejder 3 timer hver søndag morgen.	758867	I work for three hours every Sunday morning.
464058	Jeg arbejder her. Jeg er ingen gæst.	455779	I work here. I'm no guest.
464059	Jeg arbejder på et hospital.	455781	I work in a hospital.
464060	Jeg arbejder om morgenen.	455783	I work in the morning.
464062	Jeg vil gerne have en flaske hostesaft.	455785	I would like a bottle of cough mixture.
464063	Jeg vil gerne have et værelse med aircondition.	455787	I would like an air-conditioned room.
464065	Jeg vil gerne have kyllingesuppe.	455789	I would like chicken soup.
464066	Drengen der ror båden er en af mine venner.	33719	The boy rowing the boat is a friend of mine.
464069	Vi tog til søen for at ro i en båd.	33720	We went to the lake to row a boat.
464082	Tooghalvtreds procent af britiske kvinder foretrækker chokolade frem for sex.	2329	Fifty-two per cent of British women prefer chocolate to sex.
464618	Titanic sank på sin jomfrurejse.	41213	The Titanic sunk on its maiden voyage.
464621	Det var i 1912 at Titanic sank under sin første rejse.	41214	It was in 1912 that the Titanic sank during her first voyage.
464622	Alt i alt er jeg tilfreds med resultatet.	41216	On the whole I am satisfied with the result.
464623	Det er cirka 8 kilometer væk.	41219	It's about 8 kilometers away.
464625	Klokken er næsten seks.	41220	It's almost six o'clock.
464625	Klokken er næsten seks.	519113	It's nearly six o'clock.
464625	Klokken er næsten seks.	519311	It's almost six.
464626	Hun dumpede eksamen, og jeg blev meget skuffet.	41222	She failed the examination and I was greatly disappointed.
464627	Vi havde ikke mange problemer.	41223	We didn't have much trouble.
464629	Det er lige meget.	41226	That doesn't matter.
464631	Hvorfor går du ikke på kur?	41239	Why don't you go on a diet?
464633	Diane er også din halvsøster, George.	41240	Diane is your half-sister too, George.
464972	Din mor må have været smuk, da hun var ung.	17404	Your mother must have been beautiful when she was young.
