7957032	Tom holnap visszajön, ugye?	7734672	Tom is coming back tomorrow, isn't he?
7957033	Láttam Tomot a barátnőjével sétálni.	7733666	I saw Tom walking with his girlfriend.
7957034	Ennek a francia szónak nincs angol megfelelője.	7820853	That French word has no equivalent in English.
7957035	Tom nem tudta kinyitni a markát.	5744514	Tom couldn't open his hand.
7957038	A rendőrség át akarta kutatni Tom házát, de nem volt házkutatási parancsuk, szóval felszólította őket, hogy távozzanak.	7469977	The police wanted to search Tom's house, but they didn't have a search warrant, so he told them to leave.
7957039	Nem hozzád beszéltem. Kérlek, törődj a saját dolgoddal.	7783154	I wasn't speaking to you. Please mind your own business.
7957079	Tom ma délután elfoglalt, nem igaz?	7735770	Tom is busy this afternoon, isn't he?
7957080	Tom valószínűleg hazudott neked.	7732578	Tom was probably lying to you.
7957108	Faxold ezt el Tomnak!	7955183	Fax this to Tom.
7957109	Úgy tűnik, nincs probléma.	7956945	There doesn't seem to be a problem.
7957112	Hallottál arról, mi történt Tommal reggel?	7952398	Did you hear about what happened to Tom this morning?
7957113	A sebhelyet az álladon észre sem lehet venni.	7955149	The scar on your chin isn't at all noticeable.
7957116	Hallottál arról, mi történt itt reggel?	7952396	Did you hear about what happened here this morning?
7957118	Már elfelejtettem, tegnap este mit ettem vacsorára.	7952280	I've already forgotten what I ate for dinner last night.
7957119	Sosem ettem még rákot.	7952272	I've never eaten crab.
7957121	Sosem ettem még kagylót.	7952271	I've never eaten clams.
7957124	Miért nézed folyton az órádat?	7952265	Why do you keep looking at your watch?
7957125	Hogyan tudjuk rávenni Tomot, hogy megtegye nekünk?	7952228	How can we get Tom to do that for us?
7957129	Sosem találkoztam Tomnál okosabb emberrel.	7952212	I've never met a smarter man than Tom.
7957130	Nem vártam, hogy a vitorlázás ilyen szórakoztató lesz.	7932623	I didn't expect sailing to be this much fun.
7957132	Túl fáradt vagyok most hozzá.	7932608	I'm way too tired to do that now.
7957134	Nem vártam, hogy jól érzem magam.	7932337	I didn't expect to have fun.
7957137	Az emberek mindig kigúnyolnak miatta.	7932316	People always make fun of me because of that.
7957139	Tom mindig kigúnyol miatta.	7932314	Tom always makes fun of me because of that.
7957142	Tom, Mary, John és Alice mind itt voltak.	7541842	Tom, Mary, John and Alice were all here.
7957145	Tom túlélte három gyerekét.	7562283	Tom outlived three of his children.
7957148	Milyen nagy befőttesüvegre van szükséged?	7733486	How big a jar do you need?
7957150	Diétázom, szóval nem ehetek jégkrémet.	6343595	I'm on a diet, so I can't eat ice cream.
7957153	Tom későn ment haza a munkából.	7493795	Tom got home from work late.
7957154	Egyáltalán nem tetszik az ötlet.	6261145	I don't like that idea at all.
7957156	Nagyon kedves volt tőled, hogy segítettél Tomnak.	7737508	It was very nice of you to help Tom.
7957157	Tom holnap Ausztráliába repül.	7633274	Tom will be flying to Australia tomorrow.
7957164	Azt hiszem, valószínűleg meg kellene változtatnom a profilképemet.	7901634	I think I should probably change my profile picture.
7957166	Tom az a srác, akivel Ausztráliába mentem.	7782586	Tom is the guy I went to Australia with.
7957167	Tom nem akarta megcsókolni Maryt, de ő szerette volna, hogy megtegye.	7539587	Tom didn't want to kiss Mary, but she wanted him to.
7957168	Meg kellett volna tennem, amíg volt rá lehetőségem.	7734537	I should've done that while I had the chance.
7957169	Mikor Tom hazajött, én tévéztem.	7819752	When Tom came home, I was watching TV.
7957170	Még mindig ugyanott laksz?	7735613	Are you still living in the same place?
7957171	Be fogsz árulni?	7733380	Are you going to tell on me?
7957172	Tom mennyi pénzt fog kapni?	7737144	How much is Tom going to get paid?
7957173	Tudod annak a nőnek a nevét?	7737480	Do you know that woman's name?
7957174	Itt vagyok és kész vagyok segíteni.	7737115	I'm here and I'm ready to help.
7957176	Tom úgy csinálhatja, ahogy akarja.	6260974	Tom may do that any way he likes.
7957179	Tom megesküdött rá, hogy sosem tette.	6252798	Tom swore that he'd never done that.
7957181	Már nem olyan sokat csinálom.	7120697	I don't do that so much anymore.
7957182	Nem akarom, hogy Tom megsebesítse magát.	7736853	I don't want Tom to hurt himself.
7957184	Tom többé már nem jön minket meglátogatni.	6243063	Tom doesn't ever come to visit us anymore.
7957190	Meg kell kérnem Tomot, hogy jöjjön át, és csinálja meg nekem.	5850310	I'll have to ask Tom to come over and do it for me.
