340365	Hva?	36088	What?
341132	Hva koster det?	436193	How much does it cost?
341133	Jeg forstår ikke.	376611	I don't understand.
341134	Det er ikke viktig.	2322	It's not important.
341137	Det regner.	1862	It is raining.
341139	Det er kaldt.	1813	It's cold.
341217	Hva er det?	42849	What is it?
341217	Hva er det?	66989	What's that?
341217	Hva er det?	413821	What's this?
341219	Jeg vet ikke men jeg har tid før det.	750955	I don't know, but I've got time before it.
341219	Jeg vet ikke men jeg har tid før det.	3215994	I don't know, but I've got time before that.
342063	Hva består aspirin av?	757363	What's aspirin made of?
342064	Slutt å spørre meg om en drink! Gå og hent en selv.	757364	Stop asking me for a drink! Go and get one yourself.
342065	Hva ville verden vært uten kvinner?	757365	What would the world be like without women?
342182	Du må ikke snakke så høyt her.	61963	You must not speak so loudly here.
342183	Det er for mørkt til at jeg kan lese.	37839	It is too dark for me to read.
342184	Du må ikke parkere bilen i denne gaten.	57807	You mustn't park the car in this street.
342185	Jeg liker måten du går på.	63695	I like the way you walk.
342186	John og Mary har kjent hverandre siden 1976.	52779	John and Mary have known each other since 1976.
342206	Nancy, her er et brev til deg.	36214	Nancy, here's a letter for you.
342207	Ta den du liker best, samme hvilken det er.	37991	Take the one you like best, whichever it is.
342208	Hvilke filmer går nå?	65919	What movies are playing now?
342208	Hvilke filmer går nå?	750953	Which films are showing now?
342209	Ikke gå så fort! Jeg klarer ikke å holde følge med deg.	41488	Don't walk so fast! I can't keep up with you.
342210	Jeg er i et fryktelig dilemma.	55709	I am in a terrible dilemma.
342211	Hvem skrev denne boken? John.	73611	"Who wrote this book?" "John did."
342212	Få mennesker lever til de er hundre.	73484	Few people live to be one hundred years old.
342213	Du kan ikke få god karakter uten å jobbe hardt.	27582	You cannot make a good mark without working hard.
342214	Tom snakker spansk, og Betty snakker også spansk.	37269	Tom speaks Spanish, and Betty speaks Spanish, too.
342215	Si til henne hvilken hun skal ta.	36836	Tell her which one to take.
342216	Men hvordan kan de gjøre dette?	53513	But how can they do this?
342217	Jeg gjør alt du ber meg om.	18023	I'll do everything you tell me to do.
342218	Du er dum.	69480	You are stupid.
342219	Ordboken inneholder cirka en halv million ord.	47044	The dictionary contains about half a million words.
342220	Har du noen gang vært i Mexico?	31827	Have you ever been to Mexico?
342221	Dette tv-programmet er faktisk ganske interessant.	60825	This TV program is really quite interesting.
342222	Jeg er bekymret for eksamensresultatet.	39455	I'm concerned about the result of the exam.
342223	'A' kommer før 'B' i alfabetet.	67291	'A' comes before 'B' in the alphabet.
342224	Det er virkelig et problem.	42239	That's quite a problem.
342225	Hvem står der?	50927	Who is standing there?
342226	Det står en bil foran bygningen.	34563	There is a car in front of the building.
342227	Det er på tide at du begynner å vaske bordet.	41713	It's about time you set about cleaning the table.
342228	"Brann" ropte han.	73743	"Fire!", he cried.
342229	Sakuras måte å snakke på går meg på nervene.	54148	Sakura's way of speaking gets on my nerves.
342230	Disse to brødrene ligner på hverandre.	57560	These two brothers resemble each other.
342231	Om bare legen hadde kommet litt fortere.	28087	If only the doctor had come a little sooner.
342232	Det er imot mine prinsipper.	42366	That runs against my principles.
