337709	Злучаныя Штаты мяжуюць з Канадай.	67546	The United States borders Canada.
340237	Распаўсюджвайце эсперанта!	340222	Spread Esperanto!
380608	Ты хацеў расказаць мне пра свабоду?	1410	You wanted to tell me about freedom?
380609	Яго аргумент быў далёка не рацыянальны.	285872	His argument was far from rational.
380610	Там хтосьці ёсць?	276106	Is somebody there?
380611	Дайце мне бутэльку віна.	34313	Give me a bottle of wine.
380612	Мідоры з’ела большую частку апельсінаў.	325912	Midori ate the most oranges.
380613	Гэта самая абсурдная ідэя, якую я чуў.	42030	That's the most absurd idea I've ever heard.
380614	У мазгоў складаная структура.	282283	The structure of the brain is complicated.
380615	Я люблю гэтую кнігу больш за ўсё.	36897	I love this book above all.
380616	Якая самая высокая гара ў Паўночнай Амерыцы?	321252	What is the highest mountain in North America?
380617	Нават японцы могуць памыліцца, калі размаўляюць па-японску.	281707	Even Japanese can make mistakes when they speak Japanese.
380927	Я вельмі сумую па табе.	18051	I miss you badly.
380962	Я прачнуўся і ўбачыў у пакоі злодзея.	323719	I awoke to find a burglar in my room.
382266	Усе людзi нараджаюцца свабоднымi i роўнымi ў сваёй годнасцi i правах. Яны надзелены розумам i сумленнем i павiнны ставiцца адзiн да аднаго ў духу брацтва.	338182	All human beings are born free and equal in dignity and rights. They are endowed with reason and conscience and should act towards one another in a spirit of brotherhood.
382292	Адзін, два, тры, чатыры, пяць, шэсць, сем, восем, дзевяць, дзесяць.	413731	One, two, three, four, five, six, seven, eight, nine, ten.
382542	Я падрыхтаваў слабы водны раствор цукру.	65626	I prepared a weak solution of sugar and water.
383268	Я не ведаю, калі Боб прыехаў у Японію.	33264	I don't know when Bob came to Japan.
383271	Я не ведаю.	349064	I don't know.
383272	Мяне завуць Джэк.	1646	My name is Jack.
383711	За камаром не ганяйся з тапаром.	425193	Don't crack a nut with a sledgehammer.
384259	Я вярнуўся ў Японію.	259804	I returned to Japan.
384311	Тоні размаўляе па-англійску лепей за мяне.	37693	Tony speaks English better than I do.
384317	Груба жартаваць з свайго начальніка на людзях.	268338	It's rude to make fun of your boss in public.
384348	Магу я паглядзець на Ваш пашпарт?	35275	May I look at your passport?
385262	Ён злодзей.	301724	He is a thief.
385264	Новы тунэль злучыць Брытанію і Францыю.	46130	The new tunnel will link Britain and France.
385265	То быў злы трус.	1289	That was an evil bunny.
385267	Мы думаем, што Венецыя — цудоўны горад.	248287	We think Venice a fascinating city.
385268	Дзе яно схавана?	42692	Where is it hidden?
385269	Ты ведаеш, дзе ён купіў свой фотаапарат?	283212	Do you know where he bought his camera?
385270	Яны прыйшлі да вываду, што ён збрахаў.	307321	They concluded that he had told a lie.
385272	Як чалавек жыве, так ён і памрэ.	269962	As a man lives, so shall he die.
385273	Што ты рабіла ў мінулую нядзелю?	272743	What did you do last Sunday?
385274	У які клуб ты хочаш уступіць?	69834	Which club do you want to join?
385275	Ён паклаў руку мне на плячо.	299203	He rested his hand on my shoulder.
385276	Ён вярнуўся з Галандыі ў чэрвені.	288625	He returned from Holland in June.
385277	Добрай раніцы.	329713	Good morning!
385278	У яе ўкралі сумачку.	312008	She had her handbag stolen.
385279	Яна мая старэйшая сястра.	314333	She is my elder sister.
385280	Гонар не дазволіў яму папрасіць дапамогі.	25934	His pride didn't allow him to ask for help.
385281	Мы ведаем яго.	262783	We know him.
